Attack Type	Description
status	"Opponent is unable to use moves that the user also knows."
status	"User restores HP each turn. User cannot escape/switch."
status	"Sharply raises user's Defense."
status	"Reflects moves that cause status conditions back to the attacker."
status	"User faints, sharply lowers opponent's Attack and Special Attack."
status	"Sharply lowers opponent's Special Defense."
status	"Weakens the power of Electric-type moves."
status	"Uses a certain move based on the current terrain."
status	"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts."
status	"User's used hold item is restored."
status	"Cures paralysis, poison, and burns."
status	"User copies the opponent's Ability."
status	"The user swaps Abilities with the opponent."
status	"User recovers half its max HP."
status	"Steals the effects of the opponent's next move."
status	"Stores energy for use with Spit Up and Swallow."
status	"The more times the user has performed Stockpile, the more HP is recovered."
status	"Drastically raises user's Special Attack."
status	"Opponent can only use moves that attack."
status	"Confuses all Pokémon."
status	"Lowers opponent's Attack and Defense."
status	"Opponent cannot use the same move in a row."
status	"Swaps held items with the opponent."
status	"Weakens the power of Fire-type moves."
status	"Burns opponent."
status	"The user recovers HP in the following turn."
status	"Puts opponent to sleep in the next turn."
status	"Sharply raises a random stat."
status	"Restores a little HP each turn."
status	"Sharply lowers opponent's Special Attack if opposite gender."
status	"Copies opponent's last move."
status	"Puts all adjacent opponents to sleep."
status	"Raises user's Defense and Special Defense."
status	"Lowers opponent's Evasiveness and clears fog."
status	"Opponent cannot use items."
status	"Cancels out the effect of the opponent's Ability."
status	"Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns."
status	"User and opponent swap Defense and Special Defense."
status	"Prevents the opponent from restoring HP for 5 turns."
status	"User recovers half its max HP."
status	"The user faints and the next Pokémon released is fully healed."
status	"Stat changes are swapped with the opponent."
status	"Opponent cannot land critical hits for 5 turns."
status	"The user faints but the next Pokémon released is fully healed."
status	"User becomes immune to Ground-type moves for 5 turns."
status	"User copies the opponent's attack with 1.5× power."
status	"Resets opponent's Evasiveness, removes Dark's Psychic immunity."
status	"Sharply raises user's Special Attack."
status	"User and opponent swap Attack and Special Attack."
status	"User's own Attack and Defense switch."
status	"Transfers user's status condition to the opponent."
status	"Sharply raises user's Speed."
status	"User recovers half of its max HP and loses the Flying type temporarily."
status	"Damages opponents switching into battle."
status	"Swaps held items with the opponent."
status	"Doubles Speed for 4 turns."
status	"Poisons opponents switching into battle."
status	"Slower Pokémon move first in the turn for 5 turns."
status	"Changes the opponent's Ability to Insomnia."
status	"Raises all user's stats but loses HP."
status	"Boosts Attack and Defense of a teammate."
status	"Removes opponent's items."
status	"Swaps the effects on either side of the field."
status	"Sharply raises target's Attack and Special Attack."
status	"Restores team's HP and cures status conditions."
status	"User and teammates recover HP."
status	"Heals user's status conditions and recovers HP."
status	"Changes target's type to Psychic."
status	"Raises all stats but user cannot switch out."
status	"Protects the user and sharply lowers Defence on contact."
status	"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out."
status	"Switches Attack and Defense stats."
status	"Raises user's Defense."
status	"The user eats its held Berry, then sharply raises its Defense stat."
status	"Heals user's status conditions and raises its stats."
status	"Lowers the opponent's Speed and makes them weaker to Fire-type moves."
status	"Forces all Pokémon on the field to eat their berries."
status	"Raises Attack and Defense."
status	""
status	"Switches out and summons a snowstorm lasting 5 turns."
status	"Changes the abilities of the user and its teammates to that of the target."
status	""
status	"Lowers HP but sharply boosts Attack, Special Attack, and Speed."
status	"Revives a fainted party Pokémon to half HP."
status	"Creates a substitute, then swaps places with a party Pokémon in waiting."
status	"Protects the user and lowers opponent's Speed on contact."
status	"Raises Defense of Ice types for 5 turns."
status	"Harshly lowers the opponent's Defense and sharply raises their Attack."
status	"Removes the effects of entry hazards and Substitute, and boosts user’s Attack and Speed."
status	"Gives target priority in the next turn."
status	"User switches with opposite teammate."
status	"Reduces weight and sharply raises Speed."
status	"Gives the user's held item to the target."
status	"Raises user's Attack, Defense and Accuracy."
status	"Drastically raises user's Defense."
status	"Makes target's ability same as user's."
status	"Averages Defense and Special Defense with the target."
status	"Restores half the target's max HP."
status	"Raises user's Attack and Accuracy."
status	"Suppresses the effects of held items for five turns."
status	"Averages Attack and Special Attack with the target."
status	"Makes the target act last this turn."
status	"Protects the user's team from high-priority moves."
status	"Raises user's Special Attack, Special Defense and Speed."
status	"Forces attacks to hit user, not team-mates."
status	"User becomes the target's type."
status	"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense."
status	"Raises user's Attack and sharply raises Speed."
status	"Changes target's ability to Simple."
status	"Changes the target's type to water."
status	"Ignores opponent's Evasiveness for three turns, add Ground immunity."
status	"Protects the user's team from multi-target attacks."
status	"Swaps every Pokémon's Defense and Special Defense for 5 turns."
status	"Raises user's Attack and Special Attack."
status	""
