gen	name	category	type	description
gen3	Brick Break	Fighting	physical	Breaks through Reflect and Light Screen barriers.
gen3	Bulk Up	Fighting	status	Raises user's Attack and Defense.
gen3	Bullet Seed	Grass	physical	Hits 2-5 times in one turn.
gen3	Calm Mind	Psychic	status	Raises user's Special Attack and Special Defense.
gen3	Camouflage	Normal	status	Changes user's type according to the location.
gen3	Charge	Electric	status	Raises user's Special Defense and next Electric move's power increases.
gen3	Cosmic Power	Psychic	status	Raises user's Defense and Special Defense.
gen3	Covet	Normal	physical	Opponent's item is stolen by the user.
gen3	Crush Claw	Normal	physical	May lower opponent's Defense.
gen3	Dive	Water	physical	Dives underwater on first turn, attacks on second turn.
gen3	Doom Desire	Steel	special	Damage occurs 2 turns later.
gen3	Dragon Claw	Dragon	physical	
gen3	Dragon Dance	Dragon	status	Raises user's Attack and Speed.
gen3	Endeavor	Normal	physical	Reduces opponent's HP to same as user's.
gen3	Eruption	Fire	special	Stronger when the user's HP is higher.
gen3	Extrasensory	Psychic	special	May cause flinching.
gen3	Facade	Normal	physical	Power doubles if user is burned, poisoned, or paralyzed.
gen3	Fake Out	Normal	physical	User attacks first, foe flinches. Only usable on first turn.
gen3	Fake Tears	Dark	status	Sharply lowers opponent's Special Defense.
gen3	Feather Dance	Flying	status	Sharply lowers opponent's Attack.
gen3	Flatter	Dark	status	Confuses opponent, but raises its Special Attack.
gen3	Focus Punch	Fighting	physical	If the user is hit before attacking, it flinches instead.
gen3	Follow Me	Normal	status	In Double Battle, the user takes all the attacks.
gen3	Frenzy Plant	Grass	special	User must recharge next turn.
gen3	Grass Whistle	Grass	status	Puts opponent to sleep.
gen3	Grudge	Ghost	status	If the users faints after using this move, the PP for the opponent's last move is depleted.
gen3	Hail	Ice	status	Non-Ice types are damaged for 5 turns.
gen3	Heat Wave	Fire	special	May burn opponent.
gen3	Helping Hand	Normal	status	In Double Battles, boosts the power of the partner's move.
gen3	Howl	Normal	status	Raises Attack of allies.
gen3	Hydro Cannon	Water	special	User must recharge next turn.
gen3	Hyper Voice	Normal	special	
gen3	Ice Ball	Ice	physical	Doubles in power each turn for 5 turns.
gen3	Icicle Spear	Ice	physical	Hits 2-5 times in one turn.
gen3	Imprison	Psychic	status	Opponent is unable to use moves that the user also knows.
gen3	Ingrain	Grass	status	User restores HP each turn. User cannot escape/switch.
gen3	Iron Defense	Steel	status	Sharply raises user's Defense.
gen3	Knock Off	Dark	physical	Removes opponent's held item for the rest of the battle.
gen3	Leaf Blade	Grass	physical	High critical hit ratio.
gen3	Luster Purge	Psychic	special	May lower opponent's Special Defense.
gen3	Magic Coat	Psychic	status	Reflects moves that cause status conditions back to the attacker.
gen3	Magical Leaf	Grass	special	Ignores Accuracy and Evasiveness.
gen3	Memento	Dark	status	User faints, sharply lowers opponent's Attack and Special Attack.
gen3	Metal Sound	Steel	status	Sharply lowers opponent's Special Defense.
gen3	Meteor Mash	Steel	physical	May raise user's Attack.
gen3	Mist Ball	Psychic	special	May lower opponent's Special Attack.
gen3	Mud Shot	Ground	special	Lowers opponent's Speed.
gen3	Mud Sport	Ground	status	Weakens the power of Electric-type moves.
gen3	Muddy Water	Water	special	May lower opponent's Accuracy.
gen3	Nature Power	Normal	status	Uses a certain move based on the current terrain.
gen3	Needle Arm	Grass	physical	May cause flinching.
gen3	Odor Sleuth	Normal	status	Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.
gen3	Overheat	Fire	special	Sharply lowers user's Special Attack.
gen3	Poison Fang	Poison	physical	May badly poison opponent.
gen3	Poison Tail	Poison	physical	High critical hit ratio. May poison opponent.
gen3	Psycho Boost	Psychic	special	Sharply lowers user's Special Attack.
gen3	Recycle	Normal	status	User's used hold item is restored.
gen3	Refresh	Normal	status	Cures paralysis, poison, and burns.
gen3	Revenge	Fighting	physical	Power increases if user was hit first.
gen3	Rock Blast	Rock	physical	Hits 2-5 times in one turn.
gen3	Rock Tomb	Rock	physical	Lowers opponent's Speed.
gen3	Role Play	Psychic	status	User copies the opponent's Ability.
gen3	Sand Tomb	Ground	physical	Traps opponent, damaging them for 4-5 turns.
gen3	Secret Power	Normal	physical	Effects of the attack vary with the location.
gen3	Shadow Punch	Ghost	physical	Ignores Accuracy and Evasiveness.
gen3	Sheer Cold	Ice	special	One-Hit-KO, if it hits.
gen3	Shock Wave	Electric	special	Ignores Accuracy and Evasiveness.
gen3	Signal Beam	Bug	special	May confuse opponent.
gen3	Silver Wind	Bug	special	May raise all stats of user at once.
gen3	Skill Swap	Psychic	status	The user swaps Abilities with the opponent.
gen3	Sky Uppercut	Fighting	physical	Hits the opponent, even during Fly.
gen3	Slack Off	Normal	status	User recovers half its max HP.
gen3	Smelling Salts	Normal	physical	Power doubles if opponent is paralyzed, but cures it.
gen3	Snatch	Dark	status	Steals the effects of the opponent's next move.
gen3	Spit Up	Normal	special	Power depends on how many times the user performed Stockpile.
gen3	Stockpile	Normal	status	Stores energy for use with Spit Up and Swallow.
gen3	Superpower	Fighting	physical	Lowers user's Attack and Defense.
gen3	Swallow	Normal	status	The more times the user has performed Stockpile, the more HP is recovered.
gen3	Tail Glow	Bug	status	Drastically raises user's Special Attack.
gen3	Taunt	Dark	status	Opponent can only use moves that attack.
gen3	Teeter Dance	Normal	status	Confuses all Pokémon.
gen3	Tickle	Normal	status	Lowers opponent's Attack and Defense.
gen3	Torment	Dark	status	Opponent cannot use the same move in a row.
gen3	Trick	Psychic	status	Swaps held items with the opponent.
gen3	Uproar	Normal	special	User attacks for 3 turns and prevents sleep.
gen3	Volt Tackle	Electric	physical	User receives recoil damage. May paralyze opponent.
gen3	Water Pulse	Water	special	May confuse opponent.
gen3	Water Sport	Water	status	Weakens the power of Fire-type moves.
gen3	Water Spout	Water	special	The higher the user's HP, the higher the damage caused.
gen3	Weather Ball	Normal	special	Move's power and type changes with the weather.
gen3	Will-O-Wisp	Fire	status	Burns opponent.
gen3	Wish	Normal	status	The user recovers HP in the following turn.
gen3	Yawn	Normal	status	Puts opponent to sleep in the next turn.
gen4	Acupressure	Normal	status	Sharply raises a random stat.
gen4	Air Slash	Flying	special	May cause flinching.
gen4	Aqua Jet	Water	physical	User attacks first.
gen4	Aqua Ring	Water	status	Restores a little HP each turn.
gen4	Aqua Tail	Water	physical	
gen4	Assurance	Dark	physical	Power doubles if opponent already took damage in the same turn.
gen4	Attack Order	Bug	physical	High critical hit ratio.
gen4	Aura Sphere	Fighting	special	Ignores Accuracy and Evasiveness.
gen4	Avalanche	Ice	physical	Power doubles if user took damage first.
gen4	Brave Bird	Flying	physical	User receives recoil damage.
gen4	Brine	Water	special	Power doubles if opponent's HP is less than 50%.
gen4	Bug Bite	Bug	physical	Receives the effect from the opponent's held berry.
gen4	Bug Buzz	Bug	special	May lower opponent's Special Defense.
gen4	Bullet Punch	Steel	physical	User attacks first.
gen4	Captivate	Normal	status	Sharply lowers opponent's Special Attack if opposite gender.
gen4	Charge Beam	Electric	special	May raise user's Special Attack.
gen4	Chatter	Flying	special	Confuses opponent.
gen4	Close Combat	Fighting	physical	Lowers user's Defense and Special Defense.
gen4	Copycat	Normal	status	Copies opponent's last move.
gen4	Cross Poison	Poison	physical	High critical hit ratio. May poison opponent.
gen4	Crush Grip	Normal	physical	More powerful when opponent has higher HP.
gen4	Dark Pulse	Dark	special	May cause flinching.
gen4	Dark Void	Dark	status	Puts all adjacent opponents to sleep.
gen4	Defend Order	Bug	status	Raises user's Defense and Special Defense.
gen4	Defog	Flying	status	Lowers opponent's Evasiveness and clears fog.
gen4	Discharge	Electric	special	May paralyze opponent.
gen4	Double Hit	Normal	physical	Hits twice in one turn.
gen4	Draco Meteor	Dragon	special	Sharply lowers user's Special Attack.
gen4	Dragon Pulse	Dragon	special	
gen4	Dragon Rush	Dragon	physical	May cause flinching.
gen4	Drain Punch	Fighting	physical	User recovers half the HP inflicted on opponent.
gen4	Earth Power	Ground	special	May lower opponent's Special Defense.
gen4	Embargo	Dark	status	Opponent cannot use items.
gen4	Energy Ball	Grass	special	May lower opponent's Special Defense.
gen4	Feint	Normal	physical	Only hits if opponent uses Protect or Detect in the same turn.
gen4	Fire Fang	Fire	physical	May cause flinching and/or burn opponent.
gen4	Flare Blitz	Fire	physical	User receives recoil damage. May burn opponent.
gen4	Flash Cannon	Steel	special	May lower opponent's Special Defense.
gen4	Fling	Dark	physical	Power depends on held item.
gen4	Focus Blast	Fighting	special	May lower opponent's Special Defense.
gen4	Force Palm	Fighting	physical	May paralyze opponent.
gen4	Gastro Acid	Poison	status	Cancels out the effect of the opponent's Ability.
gen4	Giga Impact	Normal	physical	User must recharge next turn.
gen4	Grass Knot	Grass	special	The heavier the opponent, the stronger the attack.
gen4	Gravity	Psychic	status	Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.
gen4	Guard Swap	Psychic	status	User and opponent swap Defense and Special Defense.
gen4	Gunk Shot	Poison	physical	May poison opponent.
gen4	Gyro Ball	Steel	physical	The slower the user, the stronger the attack.
gen4	Hammer Arm	Fighting	physical	Lowers user's Speed.
gen4	Head Smash	Rock	physical	User receives recoil damage.
gen4	Heal Block	Psychic	status	Prevents the opponent from restoring HP for 5 turns.
gen4	Heal Order	Bug	status	User recovers half its max HP.
gen4	Healing Wish	Psychic	status	The user faints and the next Pokémon released is fully healed.
gen4	Heart Swap	Psychic	status	Stat changes are swapped with the opponent.
gen4	Ice Fang	Ice	physical	May cause flinching and/or freeze opponent.
gen4	Ice Shard	Ice	physical	User attacks first.
gen4	Iron Head	Steel	physical	May cause flinching.
gen4	Judgment	Normal	special	Type depends on the Arceus Plate being held.
gen4	Last Resort	Normal	physical	Can only be used after all other moves are used.
gen4	Lava Plume	Fire	special	May burn opponent.
gen4	Leaf Storm	Grass	special	Sharply lowers user's Special Attack.
gen4	Lucky Chant	Normal	status	Opponent cannot land critical hits for 5 turns.
gen4	Lunar Dance	Psychic	status	The user faints but the next Pokémon released is fully healed.
gen4	Magma Storm	Fire	special	Traps opponent, damaging them for 4-5 turns.
gen4	Magnet Bomb	Steel	physical	Ignores Accuracy and Evasiveness.
gen4	Magnet Rise	Electric	status	User becomes immune to Ground-type moves for 5 turns.
gen4	Me First	Normal	status	User copies the opponent's attack with 1.5× power.
gen4	Metal Burst	Steel	physical	Deals damage equal to 1.5x opponent's attack.
gen4	Miracle Eye	Psychic	status	Resets opponent's Evasiveness, removes Dark's Psychic immunity.
gen4	Mirror Shot	Steel	special	May lower opponent's Accuracy.
gen4	Mud Bomb	Ground	special	May lower opponent's Accuracy.
gen4	Nasty Plot	Dark	status	Sharply raises user's Special Attack.
gen4	Natural Gift	Normal	physical	Power and type depend on the user's held berry.
gen4	Night Slash	Dark	physical	High critical hit ratio.
gen4	Ominous Wind	Ghost	special	May raise all user's stats at once.
gen4	Payback	Dark	physical	Power doubles if the user was attacked first.
gen4	Pluck	Flying	physical	If the opponent is holding a berry, its effect is stolen by user.
gen4	Poison Jab	Poison	physical	May poison the opponent.
gen4	Power Gem	Rock	special	
gen4	Power Swap	Psychic	status	User and opponent swap Attack and Special Attack.
gen4	Power Trick	Psychic	status	User's own Attack and Defense switch.
gen4	Power Whip	Grass	physical	
gen4	Psycho Cut	Psychic	physical	High critical hit ratio.
gen4	Psycho Shift	Psychic	status	Transfers user's status condition to the opponent.
gen4	Punishment	Dark	physical	Power increases when opponent's stats have been raised.
gen4	Roar of Time	Dragon	special	User must recharge next turn.
gen4	Rock Climb	Normal	physical	May confuse opponent.
gen4	Rock Polish	Rock	status	Sharply raises user's Speed.
gen4	Rock Wrecker	Rock	physical	User must recharge next turn.
gen4	Roost	Flying	status	User recovers half of its max HP and loses the Flying type temporarily.
gen4	Seed Bomb	Grass	physical	
gen4	Seed Flare	Grass	special	May lower opponent's Special Defense.
gen4	Shadow Claw	Ghost	physical	High critical hit ratio.
gen4	Shadow Force	Ghost	physical	Disappears on first turn, attacks on second. Can strike through Protect/Detect.
gen4	Shadow Sneak	Ghost	physical	User attacks first.
gen4	Spacial Rend	Dragon	special	High critical hit ratio.
gen4	Stealth Rock	Rock	status	Damages opponents switching into battle.
gen4	Stone Edge	Rock	physical	High critical hit ratio.
gen4	Sucker Punch	Dark	physical	User attacks first, but only works if opponent is readying an attack.
gen4	Switcheroo	Dark	status	Swaps held items with the opponent.
gen4	Tailwind	Flying	status	Doubles Speed for 4 turns.
gen4	Thunder Fang	Electric	physical	May cause flinching and/or paralyze opponent.
gen4	Toxic Spikes	Poison	status	Poisons opponents switching into battle.
gen4	Trick Room	Psychic	status	Slower Pokémon move first in the turn for 5 turns.
gen4	Trump Card	Normal	special	The lower the PP, the higher the power.
gen4	U-turn	Bug	physical	User switches out immediately after attacking.
gen4	Vacuum Wave	Fighting	special	User attacks first.
gen4	Wake-Up Slap	Fighting	physical	Power doubles if opponent is asleep, but wakes it up.
gen4	Wood Hammer	Grass	physical	User receives recoil damage.
gen4	Worry Seed	Grass	status	Changes the opponent's Ability to Insomnia.
gen4	Wring Out	Normal	special	The higher the opponent's HP, the higher the damage.
gen4	X-Scissor	Bug	physical	
gen4	Zen Headbutt	Psychic	physical	May cause flinching.
gen8	Apple Acid	Grass	special	Lowers target's Special Defense.
gen8	Astral Barrage	Ghost	special	The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.
gen8	Aura Wheel	Electric	physical	Changes type based on Morpeko's Mode.
gen8	Barb Barrage	Poison	physical	May poison opponent; inflicts double damage if the target is already poisoned.
gen8	Behemoth Bash	Steel	physical	Damage doubles if target is Dynamaxed.
gen8	Behemoth Blade	Steel	physical	Damage doubles if target is Dynamaxed.
gen8	Bitter Malice	Ghost	special	Lowers opponent's Attack.
gen8	Bleakwind Storm	Flying	special	May lower opponent's Speed.
gen8	Body Press	Fighting	physical	The higher the user's Defense, the stronger the attack.
gen8	Bolt Beak	Electric	physical	If the user attacks before the target, the power of this move is doubled.
gen8	Branch Poke	Grass	physical	
gen8	Breaking Swipe	Dragon	physical	Hits multiple opponents and lowers their attack.
gen8	Burning Jealousy	Fire	special	Hits all opponents, and burns any that have had their stats boosted.
gen8	Ceaseless Edge	Dark	physical	Sets up Spikes.
gen8	Chloroblast	Grass	special	User receives recoil damage.
gen8	Clangorous Soul	Dragon	status	Raises all user's stats but loses HP.
gen8	Coaching	Fighting	status	Boosts Attack and Defense of a teammate.
gen8	Corrosive Gas	Poison	status	Removes opponent's items.
gen8	Court Change	Normal	status	Swaps the effects on either side of the field.
gen8	Decorate	Fairy	status	Sharply raises target's Attack and Special Attack.
gen8	Dire Claw	Poison	physical	May poison, paralyze or put the opponent to sleep.
gen8	Dragon Darts	Dragon	physical	User attacks twice.
gen8	Dragon Energy	Dragon	special	The higher the user's HP, the higher the power.
gen8	Drum Beating	Grass	physical	Lowers opponent's Speed.
gen8	Dual Wingbeat	Flying	physical	The user slams the target with its wings. The target is hit twice in a row.
gen8	Dynamax Cannon	Dragon	special	Damage doubles if opponent is Dynamaxed.
gen8	Eerie Spell	Psychic	special	Deals damage and reduces opponent's PP.
gen8	Esper Wing	Psychic	special	High critical hit ratio. Raises user's Speed.
gen8	Eternabeam	Dragon	special	User can't move on the next turn.
gen8	Expanding Force	Psychic	special	Increases power and hits all opponents on Psychic Terrain.
gen8	False Surrender	Dark	physical	Ignores Accuracy and Evasiveness.
gen8	Fiery Wrath	Dark	special	May cause flinching.
gen8	Fishious Rend	Water	physical	If the user attacks before the target, the power of this move is doubled.
gen8	Flip Turn	Water	physical	After making its attack, the user rushes back to switch places with a party Pokémon in waiting.
gen8	Freezing Glare	Psychic	special	May freeze opponent.
gen8	G-Max Befuddle	Bug		Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep.
gen8	G-Max Cannonade	Water		Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.
gen8	G-Max Centiferno	Fire		Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.
gen8	G-Max Chi Strike	Fighting		Machamp-exclusive G-Max Move. Increases critical hit ratio.
gen8	G-Max Cuddle	Normal		Eevee-exclusive G-Max Move. Infatuates opponents.
gen8	G-Max Depletion	Dragon		Duraludon-exclusive G-Max Move. Reduces opponent's PP.
gen8	G-Max Drum Solo	Grass		Rillaboom-exclusive G-Max Move. Ignores target's ability.
gen8	G-Max Finale	Fairy		Alcremie-exclusive G-Max Move. Heals the user's team.
gen8	G-Max Fireball	Fire		Cinderace-exclusive G-Max Move. Ignores target's ability.
gen8	G-Max Foam Burst	Water		Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.
gen8	G-Max Gold Rush	Normal		Meowth-exclusive G-Max Move. Confuses opponents and earns more money.
gen8	G-Max Gravitas	Psychic		Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.
gen8	G-Max Hydrosnipe	Water		Inteleon-exclusive G-Max Move. Ignores target's ability.
gen8	G-Max Malodor	Poison		Garbodor-exclusive G-Max Move. Poisons opponents.
gen8	G-Max Meltdown	Steel		Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.
gen8	G-Max One Blow	Dark		Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.
gen8	G-Max Rapid Flow	Water		Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.
gen8	G-Max Replenish	Normal		Snorlax-exclusive G-Max Move. Recycles Berries.
gen8	G-Max Resonance	Ice		Lapras-exclusive G-Max Move. Reduces damage for 5 turns.
gen8	G-Max Sandblast	Ground		Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.
gen8	G-Max Smite	Fairy		Hatterene-exclusive G-Max Move. Confuses opponents.
gen8	G-Max Snooze	Dark		Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.
gen8	G-Max Steelsurge	Steel		Copperajah-exclusive G-Max Move. Sets up Spikes on the field.
gen8	G-Max Stonesurge	Water		Drednaw-exclusive G-Max Move. Sets up Stealth Rock.
gen8	G-Max Stun Shock	Electric		Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.
gen8	G-Max Sweetness	Grass		Appletun-exclusive G-Max Move. Heals status conditions of user's team.
gen8	G-Max Tartness	Grass		Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.
gen8	G-Max Terror	Ghost		Gengar-exclusive G-Max Move. Prevents opponent from switching out.
gen8	G-Max Vine Lash	Grass		Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.
gen8	G-Max Volcalith	Rock		Coalossal-exclusive G-Max Move. Deals damage for 4 turns.
gen8	G-Max Volt Crash	Electric		Pikachu-exclusive G-Max Move. Paralyzes opponents.
gen8	G-Max Wildfire	Fire		Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.
gen8	G-Max Wind Rage	Flying		Corviknight-exclusive G-Max Move. Removes battlefield hazards.
gen8	Glacial Lance	Ice	physical	The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.
gen8	Grassy Glide	Grass	physical	High priority during Grassy Terrain.
gen8	Grav Apple	Grass	physical	Lowers the opponent's Defense stat.
gen8	Headlong Rush	Ground	physical	Lowers user's Defense.
gen8	Infernal Parade	Ghost	special	Inflicts double damage if the target has a status condition.
gen8	Jaw Lock	Dark	physical	Prevents user and opponent from switching out.
gen8	Jungle Healing	Grass	status	Restores team's HP and cures status conditions.
gen8	Lash Out	Dark	physical	Double power if stats were lowered during the turn.
gen8	Life Dew	Water	status	User and teammates recover HP.
gen8	Lunar Blessing	Psychic	status	Heals user's status conditions and recovers HP.
gen8	Magic Powder	Psychic	status	Changes target's type to Psychic.
gen8	Max Airstream	Flying		Flying type Dynamax move. Raises the team's Speed.
gen8	Max Darkness	Dark		Dark type Dynamax move. Lowers the target's Special Defense.
gen8	Max Flare	Fire		Fire type Dynamax move. Summons harsh sunlight.
gen8	Max Flutterby	Bug		Bug type Dynamax move. Lowers the target's Special Attack.
gen8	Max Geyser	Water		Water type Dynamax move. Summons heavy rain.
gen8	Max Guard	Normal		Status category Dynamax move. Protects the user.
gen8	Max Hailstorm	Ice		Ice type Dynamax move. Summons hail.
gen8	Max Knuckle	Fighting		Fighting type Dynamax move. Increases the team's Attack.
gen8	Max Lightning	Electric		Electric type Dynamax move. Summons Electric Terrain.
gen8	Max Mindstorm	Psychic		Psychic type Dynamax move. Summons Psychic Terrain.
gen8	Max Ooze	Poison		Poison type Dynamax move. Increases the team's Special Attack.
gen8	Max Overgrowth	Grass		Grass type Dynamax move. Summons Grassy Terrain.
gen8	Max Phantasm	Ghost		Ghost type Dynamax move. Lowers the target's Defense.
gen8	Max Quake	Ground		Ground type Dynamax move. Increases the team's Special Defense.
gen8	Max Rockfall	Rock		Rock type Dynamax move. Summons a sandstorm.
gen8	Max Starfall	Fairy		Fairy type Dynamax move. Summons Misty Terrain.
gen8	Max Steelspike	Steel		Steel type Dynamax move. Raises the team's Defense.
gen8	Max Strike	Normal		Normal type Dynamax move. Lowers the target's Speed.
gen8	Max Wyrmwind	Dragon		Dragon type Dynamax move. Lowers the target's Attack.
gen8	Meteor Assault	Fighting	physical	User must recharge next turn.
gen8	Meteor Beam	Rock	special	User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.
gen8	Misty Explosion	Fairy	special	Power increases on Misty Terrain.
gen8	Mountain Gale	Ice	physical	Lowers user's Speed.
gen8	Mystical Power	Psychic	special	Raises user's Special Attack.
gen8	No Retreat	Fighting	status	Raises all stats but user cannot switch out.
gen8	Obstruct	Dark	status	Protects the user and sharply lowers Defence on contact.
gen8	Octolock	Fighting	status	Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.
gen8	Overdrive	Electric	special	Hits all adjacent opponents.
gen8	Poltergeist	Ghost	physical	Fails if the target doesn’t have an item.
gen8	Power Shift	Normal	status	Switches Attack and Defense stats.
gen8	Psyshield Bash	Psychic	physical	Raises user's Defense and Special Defense.
gen8	Pyro Ball	Fire	physical	May burn opponent.
gen8	Raging Fury	Fire	physical	User attacks for 2-3 turns but then becomes confused.
gen8	Rising Voltage	Electric	special	Power doubles on Electric Terrain.
gen8	Sandsear Storm	Ground	special	May burn target.
gen8	Scale Shot	Dragon	physical	Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.
gen8	Scorching Sands	Ground	special	May burn the target.
gen8	Shell Side Arm	Poison	special	May poison opponent. Inflicts either Special or Physical damage, whichever is better.
gen8	Shelter	Steel	status	Raises user's Defense.
gen8	Skitter Smack	Bug	physical	Lowers opponent's Sp. Attack.
gen8	Snap Trap	Grass	physical	Traps opponent, damaging them for 4-5 turns.
gen8	Snipe Shot	Water	special	Ignores moves and abilities that draw in moves. High critical hit ratio.
gen8	Spirit Break	Fairy	physical	Lowers opponent's Special Attack.
gen8	Springtide Storm	Fairy	special	Boosts user's stats in Incarnate Forme, or lowers opponent's stats in Therian Forme.
gen8	Steel Beam	Steel	special	User loses 50% of its HP.
gen8	Steel Roller	Steel	physical	Fails if no Terrain in effect.
gen8	Stone Axe	Rock	physical	Sets up Stealth Rock.
gen8	Strange Steam	Fairy	special	May confuse opponent.
gen8	Stuff Cheeks	Normal	status	The user eats its held Berry, then sharply raises its Defense stat.
gen8	Surging Strikes	Water	physical	Always results in a critical hit and ignores stat changes.
gen8	Take Heart	Psychic	status	Heals user's status conditions and raises its stats.
gen8	Tar Shot	Rock	status	Lowers the opponent's Speed and makes them weaker to Fire-type moves.
gen8	Teatime	Normal	status	Forces all Pokémon on the field to eat their berries.
gen8	Terrain Pulse	Normal	special	Type and power change depending on the Terrain in effect.
gen8	Thunder Cage	Electric	special	Deals damage and traps opponent, damaging them for 4-5 turns.
gen8	Thunderous Kick	Fighting	physical	Lowers opponent's Defense.
gen8	Triple Arrows	Fighting	physical	High critical hit ratio. May lower opponent's Defense or cause them to flinch.
gen8	Triple Axel	Ice	physical	Attacks thrice with more power each time.
gen8	Victory Dance	Fighting	status	Raises Attack and Defense.
gen8	Wave Crash	Water	physical	User receives recoil damage.
gen8	Wicked Blow	Dark	physical	Always results in a critical hit and ignores stat changes.
gen8	Wildbolt Storm	Electric	special	May paralyze target.
gen9	Alluring Voice	Fairy	special	
gen9	Aqua Cutter	Water	physical	High critical hit ratio.
gen9	Aqua Step	Water	physical	Raises user's Speed.
gen9	Armor Cannon	Fire	special	Lowers user's Defense and Special Defense.
gen9	Axe Kick	Fighting	physical	May confuse opponent. If it misses, the user loses HP.
gen9	Bitter Blade	Fire	physical	User recovers half the HP inflicted on opponent.
gen9	Blazing Torque	Fire	physical	May burn the opponent.
gen9	Blood Moon	Normal	special	Cannot be used twice in a row.
gen9	Burning Bulwark	Fire	status	
gen9	Chilling Water	Water	special	Lowers opponent's Attack.
gen9	Chilly Reception	Ice	status	Switches out and summons a snowstorm lasting 5 turns.
gen9	Collision Course	Fighting	physical	Boosted even more if it's super-effective.
gen9	Combat Torque	Fighting	physical	May paralyze the opponent.
gen9	Comeuppance	Dark	physical	Deals more damage to the opponent that last inflicted damage on it.
gen9	Doodle	Normal	status	Changes the abilities of the user and its teammates to that of the target.
gen9	Double Shock	Electric	physical	After using this move, the user will no longer be Electric type.
gen9	Dragon Cheer	Dragon	status	
gen9	Electro Drift	Electric	special	Boosted even more if it's super-effective.
gen9	Electro Shot	Electric	special	Charges on first turn, attacks on second.
gen9	Fickle Beam	Dragon	special	May deal double damage.
gen9	Fillet Away	Normal	status	Lowers HP but sharply boosts Attack, Special Attack, and Speed.
gen9	Flower Trick	Grass	physical	Never misses; always results in a critical hit.
gen9	Gigaton Hammer	Steel	physical	Cannot be used twice in a row.
gen9	Glaive Rush	Dragon	physical	Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.
gen9	Hard Press	Steel	physical	
gen9	Hydro Steam	Water	special	Power increases in harsh sunlight.
gen9	Hyper Drill	Normal	physical	Can strike through Protect/Detect.
gen9	Ice Spinner	Ice	physical	Removes effects of Terrain.
gen9	Ivy Cudgel	Grass	physical	High critical hit ratio. Type changes based on form.
gen9	Jet Punch	Water	physical	Always goes first.
gen9	Kowtow Cleave	Dark	physical	Always hits.
gen9	Last Respects	Ghost	physical	Damages increases the more party Pokémon have been defeated.
gen9	Lumina Crash	Psychic	special	Harshly lowers target’s Special Defense.
gen9	Magical Torque	Fairy	physical	May confuse the opponent.
gen9	Make It Rain	Steel	special	Lowers user's Special Attack. Money is earned after the battle.
gen9	Malignant Chain	Poison	special	May poison the opponent.
gen9	Matcha Gotcha	Grass	special	Deals damage, restores HP, may burn opponent.
gen9	Mighty Cleave	Rock	physical	
gen9	Mortal Spin	Poison	physical	Removes entry hazards and trap move effects, and poisons opposing Pokémon.
gen9	Noxious Torque	Poison	physical	May poison the opponent.
gen9	Order Up	Dragon	physical	Boosts Attack/Defense/Speed depending on ally Tatsugiri.
gen9	Population Bomb	Normal	physical	Hits 1-10 times in a row.
gen9	Pounce	Bug	physical	Lowers opponent's Speed.
gen9	Psyblade	Psychic	physical	Power increases on Electric Terrain.
gen9	Psychic Noise	Psychic	special	Deals damage and prevents target from healing.
gen9	Rage Fist	Ghost	physical	The more times the user has been hit by attacks, the greater the move's power.
gen9	Raging Bull	Normal	physical	Type depends on the user’s form. Breaks through Reflect and Light Screen barriers.
gen9	Revival Blessing	Normal	status	Revives a fainted party Pokémon to half HP.
gen9	Ruination	Dark	special	Halves the opponent's HP.
gen9	Salt Cure	Rock	physical	Deals damage each turn; Steel and Water types are more affected.
gen9	Shed Tail	Normal	status	Creates a substitute, then swaps places with a party Pokémon in waiting.
gen9	Silk Trap	Bug	status	Protects the user and lowers opponent's Speed on contact.
gen9	Snowscape	Ice	status	Raises Defense of Ice types for 5 turns.
gen9	Spicy Extract	Grass	status	Harshly lowers the opponent's Defense and sharply raises their Attack.
gen9	Spin Out	Steel	physical	Harshly lowers user’s Speed.
